County,Category,Taxonomic Group,Taxonomic Subgroup,Scientific Name,Common Name,Year Last Documented,NY Listing Status,Federal Listing Status,State Conservation Rank,Global Conservation Rank,Distribution Status
Orange,Plant,Flowering Plants,Other Flowering Plants,Lysimachia hybrida,Lowland Yellow Loosestrife,not available,Endangered,not listed,S1,G5,Historically Confirmed
Orange,Plant,Flowering Plants,Orchids,Malaxis bayardii,Bayard's Adder's Mouth,1936,Endangered,not listed,S1,G1G2,Historically Confirmed
Orange,Plant,Flowering Plants,Other Flowering Plants,Melanthium virginicum,Virginia Bunchflower,not available,Endangered,not listed,SH,G5,Historically Confirmed
Orange,Plant,Flowering Plants,Other Flowering Plants,Myriophyllum pinnatum,Green Parrot's Feather,1998,Endangered,not listed,S1,G5,Recently Confirmed
Orange,Plant,Flowering Plants,Other Flowering Plants,Najas muenscheri,Hudson River Water Nymph,not available,Endangered,not listed,S2,G5T1,Historically Confirmed
Orange,Plant,Flowering Plants,Other Flowering Plants,Persicaria careyi,Carey's Smartweed,not available,Endangered,not listed,S1S2,G4,Recently Confirmed
Orange,Plant,Flowering Plants,Other Flowering Plants,Physalis virginiana var. virginiana,Virginia Ground Cherry,1925,Endangered,not listed,SH,G5T5,Historically Confirmed
Orange,Plant,Flowering Plants,Orchids,Platanthera hookeri,Hooker's Orchid,1925,Endangered,not listed,S1,G4,Historically Confirmed
Orange,Plant,Flowering Plants,Other Flowering Plants,Potamogeton diversifolius,Southern Snailseed Pondweed,1998,Endangered,not listed,S1,G5,Recently Confirmed
Orange,Plant,Flowering Plants,Other Flowering Plants,Ranunculus septentrionalis,Swamp Buttercup,not available,Endangered,not listed,S1,GNR,Recently Confirmed
Orange,Plant,Flowering Plants,Other Flowering Plants,Rhodiola rosea,Common Roseroot,1894,Endangered,not listed,S1,G5,Recently Confirmed
Orange,Plant,Flowering Plants,Sedges,Scirpus georgianus,Georgia Bulrush,2011,Endangered,not listed,S1S2,G5,Recently Confirmed
Orange,Plant,Flowering Plants,Other Flowering Plants,Scutellaria integrifolia,Hyssop-skullcap,1999,Endangered,not listed,S1,G5,Recently Confirmed
Orange,Plant,Flowering Plants,Other Flowering Plants,Sisyrinchium mucronatum,Sharp-tipped Blue-eyed Grass,1999,Endangered,not listed,S1,G5,Recently Confirmed
Orange,Plant,Flowering Plants,Grasses,Sphenopholis obtusata,Prairie Wedgegrass,1936,Endangered,not listed,S1,G5,Historically Confirmed
Orange,Plant,Flowering Plants,Other Flowering Plants,Viola bicolor,Field Pansy,2011,Endangered,not listed,S1,G5,Recently Confirmed
Orange,Plant,Flowering Plants,Other Flowering Plants,Vitis vulpina,Winter Grape,not available,Endangered,not listed,S1,G5,Recently Confirmed
Orange,Animal,Mammals,Bats,Myotis sodalis,Indiana Bat,2011,Endangered,Endangered,S1,G2,Recently Confirmed
Orange,Animal,Mammals,Rodents,Neotoma magister,Allegheny Woodrat,2007,Endangered,not listed,S1,G3G4,Recently Confirmed
Orange,Animal,Mussels and Clams,Freshwater Mussels,Alasmidonta heterodon,Dwarf Wedgemussel,2000,Endangered,Endangered,S1,G1G2,Recently Confirmed
Orange,Animal,Reptiles,Turtles,Glyptemys muhlenbergii,Bog Turtle,2014,Endangered,Threatened,S2,G3,Recently Confirmed
Orleans,Animal,Birds,Sparrows and Towhees,Ammodramus henslowii,Henslow's Sparrow,2009,Threatened,not listed,S3B,G4,Recently Confirmed
Orleans,Animal,Birds,"Gulls, Terns, Plovers, Shorebirds",Bartramia longicauda,Upland Sandpiper,2003,Threatened,not listed,S3B,G5,Recently Confirmed
Orleans,Animal,Birds,"Hawks, Falcons, Eagles, Vultures",Circus cyaneus,Northern Harrier,2016,Threatened,not listed,"S3B,S3N",G5,Recently Confirmed
Orleans,Animal,Birds,Wrens,Cistothorus platensis,Sedge Wren,2001,Threatened,not listed,S3B,G5,Recently Confirmed
Orleans,Animal,Birds,"Hawks, Falcons, Eagles, Vultures",Haliaeetus leucocephalus,Bald Eagle,2016,Threatened,not listed,"S2S3B,S2N",G5,Recently Confirmed
Orleans,Animal,Birds,"Herons, Bitterns, Egrets, Pelicans",Ixobrychus exilis,Least Bittern,2013,Threatened,not listed,"S3B,S1N",G5,Recently Confirmed
Orleans,Animal,Birds,Grebes,Podilymbus podiceps,Pied-billed Grebe,2014,Threatened,not listed,"S3B,S1N",G5,Recently Confirmed
Orleans,Plant,Ferns and Fern Allies,Ferns,Botrychium oneidense,Blunt-lobe Grape Fern,not available,Threatened,not listed,S2S3,G4,Historically Confirmed
Orleans,Plant,Ferns and Fern Allies,Horsetails,Equisetum palustre,Marsh Horsetail,not available,Threatened,not listed,S2,G5,Possible but not Confirmed
Orleans,Animal,Fish,Sturgeons and Paddlefish,Acipenser fulvescens,Lake Sturgeon,1994,Threatened,not listed,S2S3,G3G4,Recently Confirmed
Orleans,Animal,Fish,Darters and Sunfishes,Lepomis peltastes,Northern Sunfish,2004,Threatened,not listed,S1,G5,Recently Confirmed
Orleans,Plant,Flowering Plants,Other Flowering Plants,Alisma gramineum,Grass-leaved Water Plantain,not available,Threatened,not listed,S3S4,G5,Historically Confirmed
