Serial Number,County,License Type Code,License Class Code,Certificate Number,Premise Name,DBA,Premise Address,Premise Address 2,Premise City,Premise State,Premise Zip,License Issued Date,License Expiration Date,Method of Operation,Days/Hours of Operation,Other,Georeference
2213658,ONONDAGA,FD,106,999999,TALKING CURSIVE BREWING COMPANY LLC,,301 ERIE BLVD W,,SYRACUSE,NY,13202,2/12/2019,1/31/2022,FARM BREWER,,Licensed Sidewalk Cafe,POINT (-76.156385 43.050915)
3156218,NIAGARA,MI,101,937666,NEW YORK BEER PROJECT LLC,,6933 S TRANSIT RD,,LOCKPORT,NY,14094,10/22/2020,10/31/2021,MICRO BREWER,licensed patio and beer garden,,POINT (-78.696897 43.090034)
1304803,SUFFOLK,MI,101,937820,"GREENPORT BREWING COMPANY LLC, THE",GREENPORT HARBOR BREWING COMPANY,42155 MAIN RD,,PECONIC,NY,11958,10/29/2020,10/31/2021,MICRO-BREWER,,Licensed Grounds,POINT (-72.453927 41.041501)
1273340,SUFFOLK,FD,106,937821,"GREENPORT BREWING COMPANY LLC, THE",GREENPORT HARBOR BREWING COMPANY,234 CARPENTER ST,BAY STREET & EAST FRONT STREET,GREENPORT,NY,11944,10/29/2020,10/31/2021,FARM BREWERY,,,POINT (-72.358676 41.103316)
1288133,SUFFOLK,FD,106,937670,SQUAREHEAD BREWING INC,SQUAREHEAD BREWING INC,405 HIGH ST,STE 1,HOLBROOK,NY,11741,10/22/2020,10/31/2021,FARM BREWER,,,POINT (-73.073383 40.779322)
2208061,ORANGE,MI,101,934626,FOX N HARE BREWING COMPANY LLC,,46 FRONT ST,,PORT JERVIS,NY,12771,9/28/2020,8/31/2021,MICRO-BREWER,,,POINT (-74.692086 41.373329)
2214381,DUTCHESS,FW,302,923159,"HUDSON VALLEY CIDER COMPANY LLC, THE",ROSE HILL FARM,14 ROSE HILL FARM,,RED HOOK,NY,12571,1/27/2020,12/31/2021,FARM WINERY,,,POINT (-73.85206000000001 42.007907)
2201828,COLUMBIA,FD,106,935734,HUDSON RIVER BREWING LLC,HUDSON BREWING,99 S 3RD ST,,HUDSON,NY,12534,12/29/2020,1/31/2022,FARM BREWERY,,,POINT (-73.795921 42.249469)
3152853,CHAUTAUQUA,DA,206,912279,SOUTHERN TIER DISTILLING LLC,SOUTHERN TIER DISTILLING COMPANY,2051 A STONEMAN CIRCLE,,LAKEWOOD,NY,14750,12/27/2018,12/31/2021,DISTILLER CLASS A-1,,"Distiller producing 35,000 gallons or less per year",POINT (-79.350797 42.089067)
2186624,ST LAWRENCE,FW,302,914060,BELLA-BROOKE VINEYARD LLC,,2989 CR 6,,HAMMOND,NY,13646,3/13/2019,3/31/2022,FARM WINERY,,,
2212798,PUTNAM,MI,101,932817,STATELINE ENTERPRISES INC,BULL AND BARREL BREW PUB,988 RTE 22,,BREWSTER,NY,10509,7/29/2020,7/31/2021,MICRO BREWER,,,POINT (-73.60254 41.397644)
1307227,WESTCHESTER,FD,106,937951,DINER BREW COMPANY INC,,2 CORTLANDT ST,STE 1C,MOUNT VERNON,NY,10550,11/5/2020,12/31/2021,FARM BREWER,,,POINT (-73.847987 40.907868)
2224623,JEFFERSON,FD,106,999999,SACKETS HARBOR BREW PUB LLC,SACKETS HARBOR BREWING COMPANY,981 WATERMAN DR,,WATERTOWN,NY,13601,,2/28/2022,FARM BREWER,,,POINT (-75.933245 43.972881)
3156565,SENECA,FD,106,999999,BOTTOMLESS BREWING LLC,,3543 E LAKE RD,,GENEVA,NY,14456,10/30/2017,12/31/2021,FARM BREWERY,,,POINT (-76.933564 42.854009)
1329238,WESTCHESTER,FD,106,935273,6 DEGREES OR LESS BREWERY LLC,,691 E MAIN ST,,SHRUB OAK,NY,10547,12/7/2020,11/30/2021,FARM BREWER,,,POINT (-73.811257 41.332801)
